sku,Total_Revenue,Total_Quantity,ASP
J0148-SET-M,4940.0,8,617.5
J0148-SET-S,12433.970000000001,13,956.4592307692309
J0148-SET-XL,15366.9,24,640.2875
J0148-SET-XS,6675.0,9,741.6666666666666
J0148-SET-XXL,8542.48,14,610.1771428571428
J0148-SET-XXXL,6024.1900000000005,8,753.0237500000001
J0149-KR-S,633.0,2,316.5
J0149-KR-XS,633.0,2,316.5
J0150-KR-L,840.0,2,420.0
J0150-KR-M,1802.0,4,450.5
J0150-KR-S,15141.0,31,488.4193548387097
J0150-KR-XS,5168.0,12,430.6666666666667
J0150-KR-XXL,6829.0,15,455.26666666666665
J0150-KR-XXXL,5771.0,13,443.9230769230769
J0151-KR-A-M,477.0,1,477.0
J0151-KR-A-XL,1082.0,1,1082.0
J0151-KR-A-XXXL,1908.0,4,477.0
J0151-KR-L,5868.0,12,489.0
J0151-KR-S,1974.0,4,493.5
J0151-KR-XS,5415.0,10,541.5
J0151-KR-XXL,3836.58,6,639.43
J0152-DR-L,29245.0,30,974.8333333333334
J0152-DR-M,899.0,1,899.0
J0152-DR-S,15885.0,16,992.8125
J0152-DR-XL,13110.0,14,936.4285714285714
J0152-DR-XS,3500.0,4,875.0
J0152-DR-XXL,13244.0,14,946.0
J0153-DR-L,5337.9,7,762.5571428571428
J0153-DR-M,443.0,1,443.0
J0153-DR-S,8796.7,18,488.7055555555556
J0153-DR-XL,6727.9,14,480.5642857142857
J0153-DR-XS,4545.52,8,568.19
J0153-DR-XXL,3531.0,8,441.375
J0153-DR-XXXL,4851.9,10,485.18999999999994
J0154-DR-L,1508.0,4,377.0
J0154-DR-M,377.0,1,377.0
J0154-DR-S,754.0,3,251.33333333333334
J0154-DR-XL,2585.14,4,646.285
J0154-DR-XS,9482.0,22,431.0
J0154-DR-XXL,3770.0,10,377.0
J0154-DR-XXXL,1131.0,3,377.0
J0155-KR-L,1254.0,2,627.0
J0155-KR-S,627.0,1,627.0
J0155-KR-XL,1270.0,2,635.0
J0155-KR-XS,605.0,0,inf
J0155-KR-XXXL,1371.0,2,685.5
J0157-DR-L,63428.28,87,729.0606896551724
J0157-DR-M,62590.14,83,754.0980722891567
J0157-DR-S,35117.0,46,763.4130434782609
J0157-DR-XL,46814.76,60,780.246
J0157-DR-XS,19457.0,29,670.9310344827586
J0157-DR-XXL,70810.0,92,769.6739130434783
J0157-DR-XXXL,23780.62,35,679.4462857142856
J0158-DR-L,25599.1,26,984.5807692307692
J0158-DR-M,7689.71,7,1098.53
J0158-DR-S,10852.0,13,834.7692307692307
J0158-DR-XL,14306.71,18,794.8172222222222
J0158-DR-XS,7773.0,8,971.625
J0158-DR-XXL,16636.0,19,875.578947368421
J0158-DR-XXXL,13889.71,17,817.0417647058823
J0159-DR-L,3083.0,5,616.6
J0159-DR-M,1943.0,3,647.6666666666666
J0159-DR-S,4652.0,8,581.5
J0159-DR-XS,2861.0,5,572.2
J0159-DR-XXL,6074.43,8,759.30375
J0159-DR-XXXL,2365.0,3,788.3333333333334
J0160-TP-L,704.0,2,352.0
J0160-TP-S,352.0,1,352.0
J0160-TP-XXL,1283.0,2,641.5
J0161-DR-L,473.0,1,473.0
J0161-DR-M,946.0,2,473.0
J0161-DR-S,473.0,2,236.5
J0161-DR-XL,3443.0,6,573.8333333333334
J0161-DR-XS,4389.0,8,548.625
J0161-DR-XXL,2483.0,4,620.75
J0161-DR-XXXL,1396.48,2,698.24
J0162-SKD-L,8141.0,7,1163.0
J0162-SKD-M,2603.0,2,1301.5
J0162-SKD-S,4583.0,5,916.6
J0162-SKD-XL,7967.0,7,1138.142857142857
J0162-SKD-XS,2372.0,2,1186.0
J0162-SKD-XXL,9345.0,8,1168.125
J0162-SKD-XXXL,10352.0,9,1150.2222222222222
J0163-SKD-L,3056.9300000000003,2,1528.4650000000001
J0163-SKD-M,2185.0,2,1092.5
J0163-SKD-S,5769.0,5,1153.8
J0163-SKD-XL,3989.0,3,1329.6666666666667
J0163-SKD-XS,3976.0,3,1325.3333333333333
J0163-SKD-XXL,999.0,1,999.0
J0163-SKD-XXXL,999.0,1,999.0
J0164-DR-L,18060.24,42,430.0057142857143
J0164-DR-M,10262.0,26,394.6923076923077
J0164-DR-S,14012.52,32,437.89125
J0164-DR-XL,12504.38,28,446.585
J0164-DR-XS,3350.0,9,372.22222222222223
J0164-DR-XXL,15382.0,39,394.4102564102564
J0164-DR-XXXL,13130.0,33,397.8787878787879
J0165-TP-L,3215.0,9,357.22222222222223
J0165-TP-M,2401.0,8,300.125
J0165-TP-S,371.0,1,371.0
J0165-TP-XL,1067.0,4,266.75
J0165-TP-XS,1013.0,3,337.6666666666667
J0165-TP-XXL,6366.0,18,353.6666666666667
J0165-TP-XXXL,331.0,1,331.0
J0166-DR-M,458.0,1,458.0
J0166-DR-S,1278.0,3,426.0
J0166-DR-XL,882.0,2,441.0
J0166-DR-XS,441.0,2,220.5
J0167-KR-L,4718.0,14,337.0
J0167-KR-M,3167.0,10,316.7
